Time,Charleville Mall,Charleville Mall Cyclist IN,Charleville Mall Cyclist OUT,Clontarf - James Larkin Rd,Clontarf - James Larkin Rd Cyclist IN,Clontarf - James Larkin Rd Cyclist OUT,Clontarf - Pebble Beach Carpark,Clontarf - Pebble Beach Carpark Cyclist IN,Clontarf - Pebble Beach Carpark Cyclist OUT,Drumcondra Cyclists 1,Drumcondra Cyclists 1 Cyclist IN,Drumcondra Cyclists 1 Cyclist OUT,Drumcondra Cyclists 2,Drumcondra Cyclists 2 Cyclist IN,Drumcondra Cyclists 2 Cyclist OUT,Griffith Avenue (Clare Rd Side),Griffith Avenue (Clare Rd Side) Cyclist IN,Griffith Avenue (Clare Rd Side) Cyclist OUT,Griffith Avenue (Lane Side),Griffith Avenue (Lane Side) Cyclist IN,Griffith Avenue (Lane Side) Cyclist OUT,Grove Road Totem,Grove Road Totem OUT,Grove Road Totem IN,North Strand Rd N/B,North Strand Rd S/B,Richmond Street Cyclists 1,Richmond Street Cyclists 1 Cyclist IN,Richmond Street Cyclists 1 Cyclist OUT,Richmond Street Cyclists 2 ,Richmond Street Cyclists 2  Cyclist IN,Richmond Street Cyclists 2  Cyclist OUT
01/01/2022 00:00,0,0,0,0,0,0,6,4,2,0,0,0,2,2,0,1,1,0,0,0,0,4,3,1,3,1,9,1,8,4,0,4
01/01/2022 01:00,2,0,2,2,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,17,9,8,7,5,6,0,6,1,0,1
01/01/2022 02:00,0,0,0,2,1,1,4,0,4,0,0,0,1,1,0,1,1,0,0,0,0,7,7,0,2,3,9,0,9,6,0,6
01/01/2022 03:00,1,1,0,1,1,0,2,0,2,0,0,0,1,1,0,0,0,0,0,0,0,9,5,4,5,0,6,0,6,2,0,2
01/01/2022 04:00,1,0,1,1,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,9,4,5,2,1,2,0,2,0,0,0
01/01/2022 05:00,1,1,0,1,1,0,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0,3,1,2,1,2,1,0,1,2,0,2
01/01/2022 06:00,2,1,1,0,0,0,1,0,1,0,0,0,1,1,0,1,1,0,1,1,0,10,4,6,6,6,6,0,6,3,0,3
01/01/2022 07:00,3,2,1,4,3,1,6,2,4,0,0,0,3,3,0,0,0,0,0,0,0,12,1,11,3,4,4,0,4,7,0,7
01/01/2022 08:00,1,1,0,11,3,8,12,2,10,0,0,0,2,2,0,0,0,0,0,0,0,14,4,10,8,3,4,0,4,9,0,9
01/01/2022 09:00,3,3,0,21,9,12,30,12,18,0,0,0,4,4,0,0,0,0,0,0,0,23,6,17,10,11,8,0,8,9,0,9
01/01/2022 10:00,4,3,1,47,19,28,83,24,59,0,0,0,2,2,0,8,8,0,1,1,0,39,15,24,8,14,14,0,14,17,0,17
01/01/2022 11:00,4,2,2,86,32,54,108,39,69,0,0,0,2,2,0,10,10,0,1,1,0,37,16,21,14,22,13,0,13,30,0,30
01/01/2022 12:00,6,5,1,98,44,54,116,42,74,0,0,0,2,2,0,7,7,0,2,2,0,57,31,26,23,23,28,0,28,37,0,37
01/01/2022 13:00,7,3,4,116,45,71,158,64,94,0,0,0,5,5,0,12,12,0,1,1,0,65,24,41,26,32,38,0,38,39,0,39
01/01/2022 14:00,3,1,2,109,55,54,132,50,82,0,0,0,10,10,0,10,10,0,0,0,0,79,24,55,34,23,57,0,57,53,1,52
01/01/2022 15:00,4,0,4,104,51,53,153,77,76,0,0,0,6,6,0,8,8,0,0,0,0,54,30,24,28,27,53,0,53,46,0,46
01/01/2022 16:00,7,6,1,45,30,15,87,51,36,0,0,0,4,4,0,12,12,0,0,0,0,62,30,32,32,26,49,0,49,44,0,44
01/01/2022 17:00,5,3,2,15,12,3,27,15,12,0,0,0,3,3,0,5,5,0,1,1,0,51,30,21,22,14,59,0,59,45,0,45
