Time,Clonskeagh Totem,Clonskeagh Totem IN,Clonskeagh Totem OUT,Dun Laoghaire @ Peoples Park Cyclist,Dun Laoghaire @ Peoples Park Cyclists IN,Dun Laoghaire @ Peoples Park Cyclists OUT,Dun Laoghaire @ Seapoint Beach Cyclist,Dun Laoghaire @ Seapoint Beach Cyclists IN,Dun Laoghaire @ Seapoint Beach Cyclists OUT,Dun Laoghaire @ York Road Cyclist,Dun Laoghaire @ York Road Cyclists IN,Dun Laoghaire @ York Road Cyclists OUT,Glenageary Cyclist,Glenageary Bikes IN,Glenageary Bikes OUT,Grange Road Totem,N11 Before UCD,N11 Before UCD Cyclist IN,N11 Before UCD Cyclist OUT,N11 Outbound (Montrose),N11 Outbound (Montrose) OUT-Away From City Centre,N11 Outbound (Montrose) IN- Towards City Centre,N11 Totem Inbound,Rock Road Park,Rock_Road_Park_IN,Rock_Road_Park_OUT,Rock Road Bus Lane,Rock Road Totem Inbound,Wyattville Rd - Bicycles From N11,Wyattville Rd - Bicycles Towards N11,Wyattville Rd At Park Gates Cyclist,Wyattville Rd At Park Gates Bikes IN,Wyattville Rd At Park Gates Bikes OUT,Wyattville Road At Steps Cyclist,Wyattville Road At Steps Bikes IN,Wyattville Road At Steps Bikes OUT
"Jan 1, 2021 12:00 AM",1,1,0,0,0,0,0,0,0,1,1,0,,,,17,,,,2,2,0,0,,,,1,0,0,0,1,0,1,0,0,0
"Jan 1, 2021 1:00 AM",2,0,2,0,0,0,0,0,0,0,0,0,,,,6,,,,0,0,0,1,,,,0,0,0,0,0,0,0,0,0,0
"Jan 1, 2021 2:00 AM",3,2,1,0,0,0,0,0,0,0,0,0,,,,0,,,,1,1,0,1,,,,0,1,0,0,0,0,0,0,0,0
"Jan 1, 2021 3:00 AM",0,0,0,0,0,0,0,0,0,2,2,0,,,,0,,,,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0
"Jan 1, 2021 4:00 AM",2,1,1,2,0,2,2,0,2,2,0,2,,,,3,,,,1,1,0,1,,,,0,1,0,0,0,0,0,0,0,0
"Jan 1, 2021 5:00 AM",3,2,1,0,0,0,0,0,0,0,0,0,,,,0,,,,1,1,0,0,,,,0,0,0,0,1,1,0,0,0,0
"Jan 1, 2021 6:00 AM",1,1,0,2,1,1,4,4,0,4,4,0,,,,0,,,,1,1,0,2,,,,1,3,0,0,0,0,0,0,0,0
"Jan 1, 2021 7:00 AM",8,3,5,3,1,2,4,1,3,2,1,1,,,,0,,,,3,2,1,2,,,,9,5,0,0,1,0,1,0,0,0
"Jan 1, 2021 8:00 AM",4,2,2,24,18,6,18,13,5,20,17,3,,,,1,,,,1,1,0,4,,,,4,6,0,0,0,0,0,0,0,0
"Jan 1, 2021 9:00 AM",12,5,7,27,15,12,25,17,8,20,13,7,,,,2,,,,7,6,1,5,,,,9,13,0,0,2,1,1,0,0,0
"Jan 1, 2021 10:00 AM",29,19,10,96,58,38,100,63,37,82,59,23,,,,4,,,,6,4,2,5,,,,24,20,4,9,3,0,3,0,0,0
"Jan 1, 2021 11:00 AM",27,16,11,215,114,101,198,116,82,186,110,76,,,,28,,,,16,15,1,23,,,,38,34,9,12,8,3,5,0,0,0
"Jan 1, 2021 12:00 PM",59,26,33,338,219,119,384,240,144,305,196,109,,,,26,,,,19,18,1,19,,,,49,53,8,10,20,7,13,0,0,0
"Jan 1, 2021 1:00 PM",83,47,36,358,166,192,373,171,202,332,151,181,,,,24,,,,14,14,0,23,,,,66,65,12,6,14,7,7,0,0,0
"Jan 1, 2021 2:00 PM",66,37,29,324,154,170,334,147,187,310,154,156,,,,33,,,,23,18,5,46,,,,61,79,14,7,27,18,9,0,0,0
