Time,Clonskeagh Totem,Clonskeagh Totem IN,Clonskeagh Totem OUT,Dun Laoghaire @ Peoples Park Cyclist,Dun Laoghaire @ Peoples Park Cyclists IN,Dun Laoghaire @ Peoples Park Cyclists OUT,Dun Laoghaire @ Seapoint Beach Cyclist,Dun Laoghaire @ Seapoint Beach Cyclists IN,Dun Laoghaire @ Seapoint Beach Cyclists OUT,Dun Laoghaire @ York Road Cyclist,Dun Laoghaire @ York Road Cyclists IN,Dun Laoghaire @ York Road Cyclists OUT,Glenageary Cyclist,Glenageary Bikes IN,Glenageary Bikes OUT,Grange Road Totem,N11 Before UCD,N11 Before UCD Cyclist IN,N11 Before UCD Cyclist OUT,N11 Outbound (Montrose),N11 Outbound (Montrose) OUT-Away From City Centre,N11 Outbound (Montrose) IN- Towards City Centre,N11 Totem Inbound,Rock Road Bus Lane,Rock Road Park,Rock Road Park IN,Rock Road Park OUT,Rock Road Totem Inbound,Wyattville Rd - Bicycles From N11,Wyattville Rd - Bicycles Towards N11,Wyattville Rd At Park Gates Cyclist,Wyattville Rd At Park Gates Bikes IN,Wyattville Rd At Park Gates Bikes OUT,Wyattville Road At Steps Cyclist,Wyattville Road At Steps Bikes IN,Wyattville Road At Steps Bikes OUT
"Jan 1, 2022 12:00 AM",7,4,3,0,0,0,1,1,0,2,0,2,1,0,1,3,1,1,0,0,0,0,1,0,9,9,0,1,0,0,,,,,,
"Jan 1, 2022 1:00 AM",4,4,0,1,0,1,4,0,4,2,0,2,0,0,0,4,3,2,1,0,0,0,2,1,5,2,3,0,0,0,,,,,,
"Jan 1, 2022 2:00 AM",9,6,3,1,1,0,4,1,3,4,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,6,0,2,,,,,,
"Jan 1, 2022 3:00 AM",0,0,0,0,0,0,3,0,3,2,0,2,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,2,0,0,,,,,,
"Jan 1, 2022 4:00 AM",3,1,2,1,1,0,2,0,2,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
"Jan 1, 2022 5:00 AM",3,2,1,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,,,,,,
"Jan 1, 2022 6:00 AM",5,2,3,4,3,1,4,4,0,3,3,0,1,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,,,,,,
"Jan 1, 2022 7:00 AM",6,2,4,3,1,2,5,2,3,5,3,2,1,0,1,0,2,2,0,0,0,0,2,4,2,1,1,6,1,1,,,,,,
"Jan 1, 2022 8:00 AM",4,1,3,8,7,1,12,9,3,6,5,1,3,2,1,2,2,2,0,0,0,0,2,6,4,3,1,4,1,1,,,,,,
"Jan 1, 2022 9:00 AM",16,6,10,47,37,10,41,30,11,40,32,8,0,0,0,3,6,6,0,0,0,0,6,4,17,12,5,7,0,2,,,,,,
